title,author,price,imag
Secrets of the Millionaire Mind,,EGP235.00,https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/08/9780061336454.jpg?resize=450%2C600&ssl=1
That Will Never Work,Marc Randolph,EGP325.00,https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/07/9781913068219-e1661077136956.jpg?resize=450%2C600&ssl=1
Billion Dollar Loser,Reeves Wiedeman,EGP325.00,https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/07/9781529385083.jpg?resize=450%2C600&ssl=1
The Bezos Letters,Steve Anderson,EGP355.00,https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/07/9781529384796.jpg?resize=450%2C600&ssl=1
The 80/20 Principle,Richard Koch,EGP465.00,https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/07/9781529370454.jpg?resize=450%2C600&ssl=1
Just Keep Buying,Nick Maggiulli,EGP465.00,https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/07/9780857199256.jpg?resize=450%2C600&ssl=1
Machiavelli for Women,Stacey Vanek Smith,EGP420.00,https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/07/9781982121761.jpg?resize=450%2C600&ssl=1
Glue,Anh Dao Pham,EGP460.00,https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/07/9781722505332.jpg?resize=450%2C600&ssl=1
Everything Store Jeff Bezos an,Brad Stone,EGP260.00,https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/07/9780316377553.jpg?resize=450%2C600&ssl=1
"I Will Teach You to Be Rich, S",Ramit Sethi,EGP380.00,https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/06/9781523505746.jpg?resize=450%2C600&ssl=1
Simple Truths of Leadership,Ken Blanchard and Randy Conley,EGP525.00,https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/06/9781523000623.jpg?resize=450%2C600&ssl=1
The Startup of You,Reid Hoffman and Ben Casnocha,EGP630.00,https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/06/9780307888907.jpg?resize=450%2C600&ssl=1
What Color Is Your Parachute,Richard N. Bolles,EGP465.00,https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/06/9781984860347.jpg?resize=450%2C600&ssl=1
Winning On Purpose,Fred Reichheld,EGP670.00,https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/06/9781647821784.jpg?resize=450%2C600&ssl=1
Working Backwards,Colin Bryar and Bill Carr,EGP420.00,https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/06/9781250275714.jpg?resize=450%2C600&ssl=1
Radical Candor,Kim Scott,EGP235.00,https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/06/9781250258403.jpg?resize=450%2C600&ssl=1
"See, Solve, Scale",Danny Warshay,EGP420.00,https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/06/9781250283733.jpg?resize=450%2C600&ssl=1
The Science of Getting Rich,Wallace D Wattles,EGP300.00,https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/06/9781250624888.jpg?resize=450%2C600&ssl=1
Never Split The Difference,Chris Voss,EGP325.00,https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/06/9781847941497.jpg?resize=450%2C600&ssl=1
High Performance Habits,Brendon Burchard,EGP465.00,https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/06/9781788176576.jpg?resize=450%2C600&ssl=1
The Catalyst,Jonah Berger,EGP325.00,https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/06/9781471193798.jpg?resize=450%2C600&ssl=1
Shoe Dog,Phil Knight,EGP325.00,https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/06/9781471146725.jpg?resize=450%2C600&ssl=1
Zero To One,Peter Thiel and Blake Masters,EGP300.00,https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/06/9780753555200.jpg?resize=450%2C600&ssl=1
Power Of Moments,Chip Heath and Dan Heath,EGP465.00,https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/06/9780593079263.jpg?resize=450%2C600&ssl=1
Range,David Epstein,EGP355.00,https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/06/9781509843527.jpg?resize=450%2C600&ssl=1
1% Principle,Tom O'Neil,EGP465.00,https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/03/9781775540236.jpg?resize=450%2C600&ssl=1
100 Tricks to Appear Smart In,Sarah Cooper,EGP325.00,https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/03/9781910931189.jpg?resize=450%2C600&ssl=1
People Management,Rus Slater,EGP245.00,https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/03/9780007346783.jpg?resize=450%2C600&ssl=1
Beyond Digital,Paul Leinwand&Mahadeva Matt Ma,EGP670.00,https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/03/9781647822323.jpg?resize=450%2C600&ssl=1
Bias Interrupted,Joan C. Williams,EGP630.00,https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/03/9781647822729.jpg?resize=450%2C600&ssl=1
