Date,Temperature,Weather,Wind Speed
Mon15 May,25 / 18 °C,Mostly sunny.,22 km/h
Tue16 May,27 / 19 °C,Afternoon clouds.,25 km/h
Wed17 May,24 / 20 °C,Sunny.,25 km/h
Thu18 May,24 / 19 °C,Mostly sunny.,20 km/h
Fri19 May,24 / 18 °C,Mostly sunny.,20 km/h
Sat20 May,24 / 18 °C,Morning clouds.,14 km/h
Sun21 May,33 / 18 °C,Cloudy.,9 km/h
Mon22 May,27 / 20 °C,Afternoon clouds.,21 km/h
Tue23 May,24 / 20 °C,Sunny.,17 km/h
Wed24 May,24 / 19 °C,Mostly sunny.,26 km/h
Thu25 May,25 / 19 °C,Overcast.,21 km/h
Fri26 May,26 / 20 °C,Scattered clouds.,27 km/h
Sat27 May,27 / 21 °C,Partly cloudy.,19 km/h
Sun28 May,26 / 21 °C,Mostly sunny.,19 km/h
Mon29 May,26 / 21 °C,Scattered clouds.,16 km/h
